"id","kabupaten_id","bps_code","name"
"110101","1101","1103020",Bakongan
"110102","1101","1103040",Kluet Utara
"110103","1101","1103030",Kluet Selatan
"110104","1101","1103090",Labuhan Haji
"110105","1101","1103080",Meukek
"110106","1101","1103060",Samadua
"110107","1101","1103070",Sawang
"110108","1101","1103050",Tapaktuan
"110109","1101","1103010",Trumon
"110110","1101","1103041",Pasi Raja
"110111","1101","1103091",Labuhan Haji Timur
"110112","1101","1103092",Labuhan Haji Barat
"110113","1101","1103042",Kluet Tengah
"110114","1101","1103031",Kluet Timur
"110115","1101","1103021",Bakongan  Timur
"110116","1101","1103011",Trumon Timur
"110117","1101","1103022",Kota Bahagia
"110118","1101","1103012",Trumon Tengah
"110201","1102","1104010",Lawe Alas
"110202","1102","1104020",Lawe Sigala-Gala
"110203","1102","1104030",Bambel
"110204","1102","1104040",Babussalam
"110205","1102","1104050",Badar
"110206","1102","1104021",Babul Makmur
"110207","1102","1104051",Darul Hasanah
"110208","1102","1104041",Lawe Bulan
"110209","1102","1104031",Bukit Tusam
"110210","1102","1104022",Semadam
"110211","1102","1104011",Babul Rahmah
"110212","1102","1104052",Ketambe
"110213","1102","1104053",Deleng Pokhkisen
"110214","1102","1104032",Lawe Sumur
"110215","1102","1104012",Tanoh Alas
"110216","1102","1104023",Leuser
"110301","1103","1105140",Darul Aman
"110302","1103","1105160",Julok
"110303","1103","1105130",Idi Rayeuk
"110304","1103","1105090",Birem Bayeun
"110305","1103","1105080",Serbajadi
"110306","1103","1105150",Nurussalam
"110307","1103","1105110",Peureulak
"110308","1103","1105100",Rantau Selamat
"110309","1103","1105180",Simpang Ulim
"110310","1103","1105120",Rantau Peureulak
"110311","1103","1105170",Pante Bidari
"110312","1103","1105181",Madat
"110313","1103","1105161",Indra Makmu
"110314","1103","1105133",Idi Tunong
"110315","1103","1105132",Banda Alam
"110316","1103","1105131",Peudawa
"110317","1103","1105111",Peureulak  Timur
"110318","1103","1105112",Peureulak Barat
