"id","kecamatan_id","bps_code","name"
"1101012001","110101","1103020002",Keude Bakongan
"1101012002","110101","1103020001",Ujong Mangki
"1101012003","110101","1103020014",Ujong Padang
"1101012004","110101","1103020015",Gampong Drien
"1101012015","110101","1103020023",Darul Ikhsan
"1101012016","110101","1103020024",Padang Beurahan
"1101012017","110101","1103020003",Gampong Baro
"1101022001","110102","1103040015",Fajar Harapan
"1101022002","110102","1103040013",Krueng Batee
"1101022003","110102","1103040014",Pasi Kuala Asahan
"1101022004","110102","1103040011",Gunung Pulo
"1101022005","110102","1103040012",Pulo Ie I
"1101022006","110102","1103040006",Jambo Manyang
"1101022007","110102","1103040005",Simpang Empat
"1101022008","110102","1103040007",Limau Purut
"1101022009","110102","1103040008",Pulo Kambing
"1101022010","110102","1103040009",Kampung Paya
"1101022011","110102","1103040010",Krueng Batu
"1101022012","110102","1103040036",Krueng Kluet
"1101022013","110102","1103040039",Alur Mas
"1101022014","110102","1103040050",Kampung Tinggi
"1101022015","110102","1103040051",Ruak
"1101022016","110102","1103040004",Simpang Lhee
"1101022017","110102","1103040003",Suaq Geuringgeng
"1101022018","110102","1103040002",'Pasi Kuala Ba''u'
"1101022019","110102","1103040001",Kedai Padang
"1101022020","110102","1103040052",Kotafajar
"1101022021","110102","1103040053",Gunung Pudung
"1101032001","110103","1103030004",Suaq Bakung
"1101032002","110103","1103030014",Rantau Binuang
"1101032003","110103","1103030005",Barat Daya
"1101032004","110103","1103030006",Sialang
"1101032005","110103","1103030007",Kapeh
"1101032006","110103","1103030008",Pulo Ie
"1101032007","110103","1103030017",Kedai Runding
"1101032008","110103","1103030013",Kedai Kandang
"1101032009","110103","",Gampong Luar
"1101032010","110103","1103030011",Ujung
"1101032011","110103","1103030009",Jua
"1101032012","110103","1103030010",Pasi Meurapat
"1101032013","110103","1103030015",Ujung Pasir
"1101032014","110103","1103030016",Geulumbuk
"1101032015","110103","1103030001",Pasie Lembang
"1101032016","110103","1103030002",Ujung Padang
"1101032017","110103","1103030003",Indra Damai
"1101042001","110104","1103090028",Bakau Hulu
"1101042002","110104","1103090016",Padang Bakau
"1101042003","110104","1103090029",Manggis Harapan
"1101042004","110104","1103090015",Pasar Lama
"1101042005","110104","1103090014",Apha
"1101042006","110104","1103090030",Ujung Batu
"1101042007","110104","1103090013",Pawoh
"1101042008","110104","1103090031",Dalam
"1101042009","110104","1103090032",Kota Palak
"1101042010","110104","1103090033",Cacang
"1101042011","110104","1103090034",Tengah Pisang
"1101042012","110104","1103090035",Pisang
"1101042013","110104","1103090036",Hulu Pisang
"1101042014","110104","1103090012",Tengah Baru
"1101042015","110104","1103090011",Lembah Baru
"1101042016","110104","1103090010",Padang Baru
"1101052001","110105","1103080012",Kuta Buloh II
"1101052002","110105","1103080013",Kuta Buloh I
"1101052003","110105","1103080014",Ie Dingen
"1101052004","110105","1103080015",Drien Jalo
"1101052005","110105","1103080016",Jambo Papeun
"1101052006","110105","1103080017",Buket Meuh
"1101052007","110105","1103080020",Blang Kuala
"1101052008","110105","1103080019",Rot Teungoh
"1101052009","110105","1103080018",Alue Baro
"1101052010","110105","1103080021",Ladang Tuha
"1101052011","110105","1103080022",Lhok Mamplam
"1101052012","110105","1103080008",Arun Tunggai
"1101052013","110105","1103080010",Blang Teungoh
"1101052014","110105","1103080009",Blang Bladeh
"1101052015","110105","1103080011",Ie Buboh
"1101052016","110105","1103080007",Keude Meukek
"1101052017","110105","1103080006",Kuta Baro
"1101052018","110105","1103080005",Tanjung Harapan
"1101052019","110105","1103080004",Labuhan Tarok
"1101052020","110105","1103080002",Lhok Aman
"1101052021","110105","1103080001",Alue Meutuah
"1101052022","110105","1103080003",Ladang Baro
"1101052023","110105","1103080023",Labuhan Tarok II
"1101062001","110106","1103060016",Dalam
"1101062002","110106","1103060012",Subarang
"1101062003","110106","1103060014",Kuta Baru
"1101062004","110106","1103060013",Gunung Ketek
"1101062005","110106","1103060022",Ladang Panton Luas
"1101062006","110106","1103060015",Madat
"1101062007","110106","1103060023",Alur Seumerah
"1101062008","110106","1103060017",Tengah
"1101062009","110106","1103060025",Gunung Cut
"1101062010","110106","1103060024",Alur Pinang
"1101062011","110106","1103060026",Kuta Blang
"1101062012","110106","1103060027",Batee Tunggai
"1101062013","110106","1103060001",Ujung Tanah
"1101062014","110106","1103060006",Ujung Kampung
"1101062015","110106","1103060008",Jilatang
"1101062016","110106","1103060005",Luar
"1101062017","110106","1103060003",Lubuk Layu
"1101062018","110106","1103060004",Suaq Hulu
"1101062019","110106","1103060007",Tampang
"1101062020","110106","1103060002",Payonan Gadang
"1101062021","110106","1103060020",Gadang
"1101062022","110106","1103060019",Baru
"1101062023","110106","1103060021",Ladang Kasik Putih
"1101062024","110106","1103060011",Air Sialang Hilir.
"1101062025","110106","1103060009",Air Sialang Hulu
"1101062026","110106","1103060010",Air Sialang Tengah
"1101062027","110106","1103060018",Balai
"1101062028","110106","1103060028",Arafah
"1101072001","110107","1103070014",Sikulat
"1101072002","110107","1103070007",Sawang I
"1101072003","110107","1103070006",Meuligo
"1101072004","110107","1103070010",Lhok Pawoh
"1101072005","110107","1103070008",Sawang II
"1101072006","110107","1103070009",Ujung Karang
"1101072007","110107","1103070013",Trieng Meuduro Baroh
"1101072008","110107","1103070012",Trieng Meuduro Tunong
"1101072009","110107","1103070011",Panton Luas
"1101072010","110107","1103070004",Simpang Tiga
"1101072011","110107","1103070003",Kuta Baro
"1101072012","110107","1103070005",Blang Geulinggang
"1101072013","110107","1103070015",Mutiara
"1101072014","110107","1103070002",Ujung Padang
"1101072015","110107","1103070001",'Sawang Ba''u'
"1101082001","110108","1103050003",Lhok Keutapang
"1101082002","110108","1103050004",Hilir
"1101082003","110108","1103050006",Padang
"1101082004","110108","1103050008",Hulu
"1101082005","110108","1103050009",Jambo Apha
"1101082006","110108","1103050007",Tepi Air
"1101082007","110108","1103050005",Pasar
"1101082008","110108","1103050010",Lhok Bengkuang
"1101082009","110108","1103050015",Panton Luas
"1101082010","110108","1103050001",Gunung Kerambil
"1101082011","110108","1103050002",Air Berudang
"1101082012","110108","1103050011",Batu Itam
"1101082013","110108","1103050012",Panjupian
"1101082014","110108","1103050013",Lhok Rukam
"1101082015","110108","1103050014",Air Pinang
"1101082016","110108","1103050016",Lhok Bengkuang Timur
"1101092001","110109","1103010010",Keude Trumon
"1101092002","110109","1103010009",Ujong Tanoh
"1101092003","110109","1103010012",Sigleng
"1101092004","110109","1103010005",Ie Meudama
"1101092005","110109","1103010004",Tuepin Tinggi
"1101092006","110109","1103010011",Kuta Baro
"1101092007","110109","1103010013",Panton Bilie
"1101092012","110109","1103010001",Kuta Padang
"1101092013","110109","1103010002",Raket
"1101092014","110109","1103010003",Gampong Teungoh
"1101092015","110109","1103010030",Seuneubok  Jaya
"1101092016","110109","1103010027",Padang Harapan
"1101102001","110110","1103041017",Ladang Teungoh
"1101102002","110110","1103041018",Pucok Krueng
"1101102003","110110","1103041012",Silolo
"1101102004","110110","1103041007",Kampung Baru
"1101102005","110110","1103041016",Panton Bili
"1101102006","110110","1103041011",Paya Ateuk
"1101102007","110110","1103041015",Ladang Tuha
"1101102008","110110","1103041019",Mata Ie
"1101102009","110110","1103041020",Ujong Batee
"1101102010","110110","1103041010",Lhok Sialang Cut
"1101102011","110110","1103041014",Seuneubok
"1101102012","110110","1103041003",Ie Mirah
"1101102013","110110","1103041005",Pasie Rasian
"1101102014","110110","1103041004",Ujung Padang Rasian
"1101102015","110110","1103041008",Krueng Kalee
"1101102016","110110","1103041009",Lhok Sialang Rayeuk
"1101102017","110110","",Gampong Baro
"1101102018","110110","1103041006",Teupin Gajah
"1101102019","110110","1103041001",Ujung Padang Asahan
"1101102020","110110","1103041002",Pulo Ie II
"1101102021","110110","1103041021",Pante Raja
"1101112001","110111","1103091003",Tengah Peulumat
"1101112002","110111","1103091002",Paya Peulumat
"1101112003","110111","1103091004",Padang Peulumat
"1101112004","110111","1103091006",Aur Peulumat
"1101112005","110111","1103091005",Limau Saring
"1101112006","110111","1103091008",Beutong
"1101112007","110111","1103091009",Peuneulop
"1101112008","110111","1103091010",Gunung Rotan
"1101112009","110111","1103091001",Keumumu  Hilir
"1101112010","110111","1103091007",Keumumu Hulu
"1101112011","110111","1103091011",Keumumu Seberang
"1101112012","110111","1103091012",Sawang Indah
"1101122001","110112","1103092008",Tutong
"1101122002","110112","1103092010",Teungoh Iboh
"1101122003","110112","1103092011",Peulokan
"1101122004","110112","1103092007",Kuta Iboh
"1101122005","110112","1103092009",Ujung Padang
"1101122006","110112","1103092005",Blang Baru
"1101122007","110112","1103092006",Blang Poroh
"1101122008","110112","1103092001",Pulo Ie
"1101122009","110112","1103092002",Suak Lokan
"1101122010","110112","1103092003",Iku Lhueng
"1101122011","110112","1103092012",Kuta Trieng
"1101122012","110112","1103092004",Pante Geulima
"1101122013","110112","1103092013",Panton Pawoh
"1101122014","110112","1103092014",Batee Meucanang
"1101122015","110112","1103092015",Panton Rubek
"1101132001","110113","1103042006",Koto
"1101132002","110113","1103042013",Alur Keujrun
"1101132003","110113","1103042001",Jambo Papan
"1101132004","110113","1103042004",Malaka
"1101132005","110113","1103042002",Koto Indarung
"1101132006","110113","1103042003",Siurai-Urai
"1101132007","110113","1103042007",Kampung Sawah
"1101132008","110113","1103042008",Kampung Padang
"1101132009","110113","1103042009",Pulo Air
"1101132010","110113","1103042005",Lawe Melang
"1101132011","110113","1103042010",Mersak
"1101132012","110113","1103042011",Simpang Dua
"1101132013","110113","1103042012",Simpang Tiga
"1101142001","110114","1103031004",Paya Dapur
"1101142002","110114","1103031001",Sapik
"1101142003","110114","1103031003",Alai
"1101142004","110114","1103031002",Durian Kawan
"1101142005","110114","1103031007",Lawe Sawah
"1101142006","110114","1103031006",Lawe Buluh Didi
"1101142007","110114","1103031005",Pucuk Lembang
"1101142008","110114","1103031008",Paya Laba
"1101142009","110114","1103031009",Lawe Cimanok
"1101152001","110115","1103021004",Pasie Seubadeh
"1101152002","110115","1103021005",Ladang Rimba
"1101152003","110115","1103021003",Ujong Pulo Rayeuk
"1101152004","110115","1103021007",Sawah Tingkeum
"1101152005","110115","1103021006",Simpang
"1101152006","110115","1103021002",Ujong Pulo Cut
"1101152008","110115","1103021008",Seuleukat
"1101162005","110116","1103011008",Pinto Rimba
"1101162006","110116","1103011009",Krueng Luas
"1101162007","110116","1103011010",Jambo Dalem
"1101162008","110116","1103011011",Kapa Sesak
"1101162009","110116","1103011003",Seuneubok Punto
"1101162010","110116","1103011012",Seuneubok Pusaka
"1101162011","110116","1103011002",Alur Bujok
"1101162012","110116","1103011001",Titi Poben
"1101172001","110117","1103022010",Buket Gadeng
"1101172002","110117","1103022008",Rambong
"1101172003","110117","1103022009",Seuneubok  Keuranji
"1101172004","110117","1103022001",Seuneubok  Alur Buloh
"1101172005","110117","1103022004",Ujong Tanoh
"1101172006","110117","1103022007",Ujong Gunong Cut
"1101172007","110117","1103022006",Ujong Gunung Rayeuk
"1101172008","110117","1103022005",Beutong
"1101172009","110117","1103022003",Jambo Keupok
"1101172010","110117","1103022002",Alurduamas
"1101182001","110118","1103012006",Ladang Rimba
"1101182002","110118","1103012010",Gunong Kapho
"1101182003","110118","1103012009",Kampong Teungoh
"1101182004","110118","1103012008",Krueng Batee
"1101182005","110118","1103012007",Pulo Paya
"1101182006","110118","1103012005",Jambo Papeun
"1101182007","110118","1103012004",Cot Bayu
"1101182008","110118","1103012003",Naca
"1101182009","110118","1103012002",Ie Jeureuneh
"1101182010","110118","1103012001",Lhok Raya
"1102012001","110201","1104010023",Engkeran
"1102012002","110201","1104010040",Rumah Kampung
"1102012004","110201","1104010022",Pasir Bangun
"1102012006","110201","1104010025",Kubu
"1102012007","110201","1104010024",Lawe Kongker
"1102012008","110201","1104010026",Kuta Cingkam II
"1102012009","110201","1104010021",Muara Baru
"1102012011","110201","1104010030",Kuta Batu I
"1102012012","110201","1104010027",Kuta Cingkam I
"1102012013","110201","1104010029",Kuta Batu II
"1102012014","110201","1104010028",Lawe Sempilang
"1102012015","110201","1104010031",Prapat Batu Nunggul
"1102012016","110201","1104010032",Pulo Sepang
"1102012017","110201","1104010038",Rih Mbelang
"1102012018","110201","1104010039",Kute Batu Baru
"1102012019","110201","1104010035",Darul Amin
"1102012020","110201","1104010036",Lawe Lubang Indah
"1102012021","110201","1104010037",Batu Hamparan
"1102012022","110201","1104010034",Paye Munje
"1102012023","110201","1104010044",Pulo Ndapdap
"1102012024","110201","1104010042",Pasir Nunggul
"1102012025","110201","1104010047",Cingkham Mekhanggun
"1102012026","110201","1104010045",Pintu Khimbe
"1102012027","110201","1104010043",Lawe Kongker Hilir
"1102012028","110201","1104010046",Pulo Gadung
"1102012029","110201","1104010041",Pasikh Pehkmate
"1102012030","110201","1104010048",Pasikh Nunang
"1102012031","110201","1104010049",Deleng Kukusen
"1102022001","110202","1104020023",Bukit Merdeka
"1102022002","110202","1104020027",Darul Aman
"1102022003","110202","1104020024",Lawe Kesumpat
"1102022004","110202","1104020022",Lawe Tua Gabungan
"1102022005","110202","1104020021",Lawe Sigala II
"1102022006","110202","1104020018",Lawe Sigala Timur
"1102022007","110202","1104020019",Lawe Sigala Barat
"1102022008","110202","1104020020",Suka Damai
"1102022009","110202","1104020016",Kute Tengah
"1102022010","110202","1104020017",Tanah Baru
"1102022011","110202","1104020014",Kedataran  Gabungan
"1102022012","110202","1104020013",Gabungan  Parsaroan
"1102022013","110202","1104020011",Lawe Loning Gabungan
