"id","propinsi_id","bps_code","name"
"1101","11","1103",Kab. Aceh Selatan
"1102","11","1104",Kab. Aceh Tenggara
"1103","11","1105",Kab. Aceh Timur
"1104","11","1106",Kab. Aceh Tengah
"1105","11","1107",Kab. Aceh Barat
"1106","11","1108",Kab. Aceh Besar
"1107","11","1109",Kab. Pidie
"1108","11","1111",Kab. Aceh Utara
"1109","11","1101",Kab. Simeulue
"1110","11","1102",Kab. Aceh Singkil
"1111","11","1110",Kab. Bireuen
"1112","11","1112",Kab. Aceh Barat Daya
"1113","11","1113",Kab. Gayo Lues
"1114","11","1116",Kab. Aceh Jaya
"1115","11","1115",Kab. Nagan Raya
"1116","11","1114",Kab. Aceh Tamiang
"1117","11","1117",Kab. Bener Meriah
"1118","11","1118",Kab. Pidie Jaya
"1171","11","1171",Kota Banda Aceh
"1172","11","1172",Kota Sabang
"1173","11","1174",Kota Lhokseumawe
"1174","11","1173",Kota Langsa
"1175","11","1175",Kota Subulussalam
"1201","12","1204",Kab. Tapanuli Tengah
"1202","12","1205",Kab. Tapanuli Utara
"1203","12","1203",Kab. Tapanuli Selatan
"1204","12","1201",Kab. Nias
"1205","12","1213",Kab. Langkat
"1206","12","1211",Kab. Karo
"1207","12","1212",Kab. Deli Serdang
"1208","12","1209",Kab. Simalungun
"1209","12","1208",Kab. Asahan
"1210","12","1207",Kab. Labuhanbatu
"1211","12","1210",Kab. Dairi
"1212","12","1206",Kab. Toba Samosir
"1213","12","1202",Kab. Mandailing Natal
"1214","12","1214",Kab. Nias Selatan
"1215","12","1216",Kab. Pakpak Bharat
"1216","12","1215",Kab. Humbang Hasundutan
"1217","12","1217",Kab. Samosir
"1218","12","1218",Kab. Serdang Bedagai
"1219","12","1219",Kab. Batu Bara
"1220","12","1220",Kab. Padang Lawas Utara
"1221","12","1221",Kab. Padang Lawas
"1222","12","1222",Kab. Labuhanbatu Selatan
"1223","12","1223",Kab. Labuhanbatu Utara
"1224","12","1224",Kab. Nias Utara
"1225","12","1225",Kab. Nias Barat
"1271","12","1275",Kota Medan
"1272","12","1273",Kota Pematangsiantar
"1273","12","1271",Kota Sibolga
"1274","12","1272",Kota Tanjung Balai
"1275","12","1276",Kota Binjai
"1276","12","1274",Kota Tebing Tinggi
"1277","12","1277",Kota Padang Sidempuan
"1278","12","1278",Kota Gunungsitoli
"1301","13","1302",Kab. Pesisir Selatan
"1302","13","1303",Kab. Solok
"1303","13","1304",Kab. Sijunjung
"1304","13","1305",Kab. Tanah Datar
"1305","13","1306",Kab. Padang Pariaman
"1306","13","1307",Kab. Agam
"1307","13","1308",Kab. Lima Puluh Kota
"1308","13","1309",Kab. Pasaman
"1309","13","1301",Kab. Kepulauan Mentawai
"1310","13","1311",Kab. Dharmasraya
"1311","13","1310",Kab. Solok Selatan
"1312","13","1312",Kab. Pasaman Barat
"1371","13","1371",Kota Padang
"1372","13","1372",Kota Solok
"1373","13","1373",Kota Sawahlunto
"1374","13","1374",Kota Padang Panjang
"1375","13","1375",Kota Bukittinggi
"1376","13","1376",Kota Payakumbuh
"1377","13","1377",Kota Pariaman
"1401","14","1406",Kab. Kampar
"1402","14","1402",Kab. Indragiri Hulu
"1403","14","1408",Kab. Bengkalis
"1404","14","1403",Kab. Indragiri Hilir
"1405","14","1404",Kab. Pelalawan
"1406","14","1407",Kab. Rokan Hulu
"1407","14","1409",Kab. Rokan Hilir
"1408","14","1405",Kab. Siak
"1409","14","1401",Kab. Kuantan Singingi
"1410","14","1410",Kab. Kepulauan Meranti
"1471","14","1471",Kota Pekanbaru
"1472","14","1473",Kota Dumai
"1501","15","1501",Kab. Kerinci
"1502","15","1502",Kab. Merangin
"1503","15","1503",Kab. Sarolangun
"1504","15","1504",Kab. Batanghari
"1505","15","1505",Kab. Muaro Jambi
"1506","15","1507",Kab. Tanjung Jabung Barat
"1507","15","1506",Kab. Tanjung Jabung Timur
"1508","15","1509",Kab. Bungo
"1509","15","1508",Kab. Tebo
"1571","15","1571",Kota Jambi
"1572","15","1572",Kota Sungai Penuh
"1601","16","1601",Kab. Ogan Komering Ulu
"1602","16","1602",Kab. Ogan Komering Ilir
"1603","16","1603",Kab. Muara Enim
"1604","16","1604",Kab. Lahat
"1605","16","1605",Kab. Musi Rawas
"1606","16","1606",Kab. Musi Banyuasin
"1607","16","1607",Kab. Banyuasin
"1608","16","1609",Kab. Ogan Komering Ulu  Timur
"1609","16","1608",Kab. Ogan Komering Ulu  Selatan
"1610","16","1610",Kab. Ogan Ilir
"1611","16","1611",Kab. Empat Lawang
"1612","16","1612",Kab. Penukal Abab Lematang  Ilir
"1613","16","1613",Kab. Musi Rawas Utara
"1671","16","1671",Kota Palembang
"1672","16","1673",Kota Pagar Alam
"1673","16","1674",Kota Lubuk Linggau
"1674","16","1672",Kota Prabumulih
"1701","17","1701",Kab. Bengkulu Selatan
"1702","17","1702",Kab. Rejang Lebong
"1703","17","1703",Kab. Bengkulu Utara
"1704","17","1704",Kab. Kaur
"1705","17","1705",Kab. Seluma
"1706","17","1706",Kab. Muko Muko
"1707","17","1707",Kab. Lebong
"1708","17","1708",Kab. Kepahiang
"1709","17","1709",Kab. Bengkulu Tengah
"1771","17","1771",Kota Bengkulu
"1801","18","1803",Kab. Lampung Selatan
"1802","18","1805",Kab. Lampung Tengah
"1803","18","1806",Kab. Lampung Utara
"1804","18","1801",Kab. Lampung Barat
"1805","18","1808",Kab. Tulang Bawang
"1806","18","1802",Kab. Tanggamus
"1807","18","1804",Kab. Lampung Timur
"1808","18","1807",Kab. Way Kanan
"1809","18","1809",Kab. Pesawaran
"1810","18","1810",Kab. Pringsewu
"1811","18","1811",Kab. Mesuji
"1812","18","1812",Kab. Tulang Bawang Barat
"1813","18","1813",Kab. Pesisir Barat
"1871","18","1871",Kota Bandar Lampung
"1872","18","1872",Kota Metro
"1901","19","1901",Kab. Bangka
"1902","19","1902",Kab. Belitung
"1903","19","1905",Kab. Bangka Selatan
"1904","19","1904",Kab. Bangka Tengah
"1905","19","1903",Kab. Bangka Barat
"1906","19","1906",Kab. Belitung Timur
"1971","19","1971",Kota Pangkal Pinang
"2101","21","2102",Kab. Bintan
"2102","21","2101",Kab. Karimun
"2103","21","2103",Kab. Natuna
"2104","21","2104",Kab. Lingga
"2105","21","2105",Kab. Kepulauan Anambas
"2171","21","2171",Kota Batam
"2172","21","2172",Kota Tanjung Pinang
"3101","31","3101",Kab. Adm. Kep. Seribu
"3171","31","3173",Kota Adm. Jakarta Pusat
"3172","31","3175",Kota Adm. Jakarta Utara
"3173","31","3174",Kota Adm. Jakarta Barat
"3174","31","3171",Kota Adm. Jakarta Selatan
"3175","31","3172",Kota Adm. Jakarta Timur
"3201","32","3201",Kab. Bogor
"3202","32","3202",Kab. Sukabumi
"3203","32","3203",Kab. Cianjur
"3204","32","3204",Kab. Bandung
"3205","32","3205",Kab. Garut
"3206","32","3206",Kab. Tasikmalaya
"3207","32","3207",Kab. Ciamis
"3208","32","3208",Kab. Kuningan
"3209","32","3209",Kab. Cirebon
"3210","32","3210",Kab. Majalengka
"3211","32","3211",Kab. Sumedang
"3212","32","3212",Kab. Indramayu
"3213","32","3213",Kab. Subang
"3214","32","3214",Kab. Purwakarta
"3215","32","3215",Kab. Karawang
"3216","32","3216",Kab. Bekasi
"3217","32","3217",Kab. Bandung Barat
"3218","32","3218",Kab. Pangandaran
"3271","32","3271",Kota Bogor
"3272","32","3272",Kota Sukabumi
"3273","32","3273",Kota Bandung
"3274","32","3274",Kota Cirebon
"3275","32","3275",Kota Bekasi
"3276","32","3276",Kota Depok
"3277","32","3277",Kota Cimahi
"3278","32","3278",Kota Tasikmalaya
"3279","32","3279",Kota Banjar
"3301","33","3301",Kab. Cilacap
"3302","33","3302",Kab. Banyumas
"3303","33","3303",Kab. Purbalingga
"3304","33","3304",Kab. Banjarnegara
"3305","33","3305",Kab. Kebumen
"3306","33","3306",Kab. Purworejo
"3307","33","3307",Kab. Wonosobo
"3308","33","3308",Kab. Magelang
"3309","33","3309",Kab. Boyolali
"3310","33","3310",Kab. Klaten
"3311","33","3311",Kab. Sukoharjo
"3312","33","3312",Kab. Wonogiri
"3313","33","3313",Kab. Karanganyar
"3314","33","3314",Kab. Sragen
"3315","33","3315",Kab. Grobogan
"3316","33","3316",Kab. Blora
"3317","33","3317",Kab. Rembang
"3318","33","3318",Kab. Pati
"3319","33","3319",Kab. Kudus
"3320","33","3320",Kab. Jepara
"3321","33","3321",Kab. Demak
"3322","33","3322",Kab. Semarang
"3323","33","3323",Kab. Temanggung
"3324","33","3324",Kab. Kendal
"3325","33","3325",Kab. Batang
"3326","33","3326",Kab. Pekalongan
"3327","33","3327",Kab. Pemalang
"3328","33","3328",Kab. Tegal
"3329","33","3329",Kab. Brebes
"3371","33","3371",Kota Magelang
"3372","33","3372",Kota Surakarta
"3373","33","3373",Kota Salatiga
"3374","33","3374",Kota Semarang
"3375","33","3375",Kota Pekalongan
"3376","33","3376",Kota Tegal
"3401","34","3401",Kab. Kulon Progo
"3402","34","3402",Kab. Bantul
"3403","34","3403",Kab. Gunungkidul
"3404","34","3404",Kab. Sleman
"3471","34","3471",Kota Yogyakarta
"3501","35","3501",Kab. Pacitan
"3502","35","3502",Kab. Ponorogo
"3503","35","3503",Kab. Trenggalek
"3504","35","3504",Kab. Tulungagung
"3505","35","3505",Kab. Blitar
"3506","35","3506",Kab. Kediri
"3507","35","3507",Kab. Malang
"3508","35","3508",Kab. Lumajang
"3509","35","3509",Kab. Jember
"3510","35","3510",Kab. Banyuwangi
"3511","35","3511",Kab. Bondowoso
"3512","35","3512",Kab. Situbondo
"3513","35","3513",Kab. Probolinggo
"3514","35","3514",Kab. Pasuruan
"3515","35","3515",Kab. Sidoarjo
"3516","35","3516",Kab. Mojokerto
"3517","35","3517",Kab. Jombang
"3518","35","3518",Kab. Nganjuk
"3519","35","3519",Kab. Madiun
"3520","35","3520",Kab. Magetan
"3521","35","3521",Kab. Ngawi
"3522","35","3522",Kab. Bojonegoro
"3523","35","3523",Kab. Tuban
"3524","35","3524",Kab. Lamongan
"3525","35","3525",Kab. Gresik
"3526","35","3526",Kab. Bangkalan
"3527","35","3527",Kab. Sampang
"3528","35","3528",Kab. Pamekasan
"3529","35","3529",Kab. Sumenep
"3571","35","3571",Kota Kediri
"3572","35","3572",Kota Blitar
"3573","35","3573",Kota Malang
"3574","35","3574",Kota Probolinggo
"3575","35","3575",Kota Pasuruan
"3576","35","3576",Kota Mojokerto
"3577","35","3577",Kota Madiun
"3578","35","3578",Kota Surabaya
"3579","35","3579",Kota Batu
"3601","36","3601",Kab. Pandeglang
"3602","36","3602",Kab. Lebak
"3603","36","3603",Kab. Tangerang
"3604","36","3604",Kab. Serang
"3671","36","3671",Kota Tangerang
"3672","36","3672",Kota Cilegon
"3673","36","3673",Kota Serang
"3674","36","3674",Kota Tangerang Selatan
"5101","51","5101",Kab. Jembrana
"5102","51","5102",Kab. Tabanan
"5103","51","5103",Kab. Badung
"5104","51","5104",Kab. Gianyar
"5105","51","5105",Kab. Klungkung
"5106","51","5106",Kab. Bangli
"5107","51","5107",Kab. Karangasem
"5108","51","5108",Kab. Buleleng
"5171","51","5171",Kota Denpasar
"5201","52","5201",Kab. Lombok Barat
"5202","52","5202",Kab. Lombok Tengah
"5203","52","5203",Kab. Lombok Timur
"5204","52","5204",Kab. Sumbawa
"5205","52","5205",Kab. Dompu
"5206","52","5206",Kab. Bima
"5207","52","5207",Kab. Sumbawa Barat
"5208","52","5208",Kab. Lombok Utara
"5271","52","5271",Kota Mataram
"5272","52","5272",Kota Bima
"5301","53","5303",Kab. Kupang
"5302","53","5304",Kab Timor Tengah Selatan
"5303","53","5305",Kab. Timor Tengah Utara
"5304","53","5306",Kab. Belu
"5305","53","5307",Kab. Alor
"5306","53","5309",Kab. Flores Timur
"5307","53","5310",Kab. Sikka
"5308","53","5311",Kab. Ende
"5309","53","5312",Kab. Ngada
"5310","53","5313",Kab. Manggarai
"5311","53","5302",Kab. Sumba Timur
"5312","53","5301",Kab. Sumba Barat
"5313","53","5308",Kab. Lembata
"5314","53","5314",Kab. Rote Ndao
"5315","53","5315",Kab. Manggarai Barat
"5316","53","5318",Kab. Nagekeo
"5317","53","5316",Kab. Sumba Tengah
"5318","53","5317",Kab. Sumba Barat Daya
"5319","53","5319",Kab. Manggarai Timur
"5320","53","5320",Kab. Sabu Raijua
"5321","53","5321",Kab. Malaka
"5371","53","5371",Kota Kupang
"6101","61","6101",Kab. Sambas
"6102","61","6104",Kab. Mempawah
"6103","61","6105",Kab. Sanggau
"6104","61","6106",Kab. Ketapang
"6105","61","6107",Kab. Sintang
"6106","61","6108",Kab. Kapuas Hulu
"6107","61","6102",Kab. Bengkayang
"6108","61","6103",Kab. Landak
"6109","61","6109",Kab. Sekadau
"6110","61","6110",Kab. Melawi
"6111","61","6111",Kab. Kayong Utara
